date,weekday,meal_period,dish_name,dish_category,kitchen_section,estimated_guests,actual_guests,event_type,occupancy_rate,weather,prepared_qty,leftover_qty,leftover_ratio,service_time_remaining,refill_count,waste_level,possible_reason,recommended_action
2025-10-31,Friday,Dinner,Fried Noodles,staple,Hot Kitchen,86,87,normal,0.52,sunny,3.4,0.8,0.24,15,3,Medium,Demand slowed near the end,Use smaller refill batch
2025-10-09,Thursday,Breakfast,Fruit Platter,dessert,Cold Dishes,116,107,group_tour,0.72,rainy,5.2,1.1,0.21,60,1,Medium,Demand slowed near the end,Reduce final refill quantity
2025-12-28,Sunday,Breakfast,Steamed Dumplings,pastry,Chinese Pastry,214,183,normal,0.87,cloudy,8.2,0.6,0.07,60,0,Low,Regular consumption,Maintain current quantity
2025-12-17,Wednesday,Dinner,Braised Pork,meat,Hot Kitchen,112,113,banquet,0.74,cloudy,6.2,1.1,0.18,15,1,Medium,Demand slowed near the end,Reduce final refill quantity
2026-01-27,Tuesday,Lunch,Braised Pork,meat,Hot Kitchen,128,131,normal,0.55,cloudy,5.6,2.1,0.38,90,1,High,Low guest demand,Reduce initial quantity
2026-01-08,Thursday,Dinner,Congee Side Toppings,side dish,Cold / Prep,74,62,group_tour,0.79,sunny,2.9,1.2,0.41,15,2,High,Refilled too late in service,Avoid final refill and reduce next initial quantity
2025-12-22,Monday,Dinner,Stir-fried Vegetables,vegetable,Hot Kitchen,127,102,normal,0.68,rainy,3.3,1.2,0.36,60,4,High,Low guest demand,Reduce initial quantity
2026-01-13,Tuesday,Breakfast,Roasted Chicken,meat,Hot Kitchen,119,130,wedding,0.7,sunny,7.6,0.5,0.07,90,3,Low,Regular consumption,Maintain current quantity
2026-01-08,Thursday,Lunch,Chinese Pastry Assortment,pastry,Chinese Pastry,62,63,normal,0.88,rainy,3.4,0.3,0.09,45,2,Low,Regular consumption,Maintain current quantity
2026-01-22,Thursday,Lunch,Cold Cucumber Salad,cold dish,Cold Dishes,127,144,normal,0.89,rainy,5.1,2.1,0.41,45,0,High,Low guest demand,Reduce initial quantity
2025-11-22,Saturday,Lunch,Cold Cucumber Salad,cold dish,Cold Dishes,195,217,group_tour,0.93,rainy,8.1,3.7,0.46,45,0,High,Overproduction,Reduce initial quantity
2025-12-20,Saturday,Breakfast,Stir-fried Vegetables,vegetable,Hot Kitchen,81,84,normal,0.92,rainy,3.3,0.7,0.21,30,4,Medium,Demand slowed near the end,Use smaller refill batch
2026-02-20,Friday,Lunch,Cold Cucumber Salad,cold dish,Cold Dishes,114,127,normal,0.66,rainy,4.9,2.4,0.49,60,2,High,Low guest demand,Reduce initial quantity
2026-01-23,Friday,Lunch,Fruit Platter,dessert,Cold Dishes,65,64,normal,0.48,sunny,2.2,0.8,0.36,15,0,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-10-21,Tuesday,Breakfast,Fruit Platter,dessert,Cold Dishes,93,96,normal,0.56,cloudy,3.0,1.3,0.43,60,1,High,Low guest demand,Reduce initial quantity
2026-01-21,Wednesday,Lunch,Roasted Chicken,meat,Hot Kitchen,85,65,normal,0.48,rainy,3.5,0.8,0.23,30,0,Medium,Demand slowed near the end,Reduce final refill quantity
2025-11-07,Friday,Breakfast,Steamed Fish,seafood,Hot Kitchen,79,73,normal,0.89,sunny,3.4,1.2,0.35,90,0,Medium,Overproduction,Reduce final refill quantity
2025-10-26,Sunday,Breakfast,Stir-fried Vegetables,vegetable,Hot Kitchen,162,179,normal,0.56,cloudy,5.4,2.7,0.5,45,3,High,Low guest demand,Reduce initial quantity
2025-12-15,Monday,Dinner,Steamed Fish,seafood,Hot Kitchen,233,192,wedding,0.78,rainy,10.5,3.9,0.37,15,4,High,Over-refilled during service,Avoid final refill and reduce next initial quantity
2026-03-01,Sunday,Dinner,Fried Rice,staple,Hot Kitchen,230,250,banquet,0.53,rainy,15.0,1.4,0.09,60,1,Low,Regular consumption,Maintain current quantity
2026-02-25,Wednesday,Dinner,Stir-fried Vegetables,vegetable,Hot Kitchen,209,204,normal,0.49,rainy,6.8,2.2,0.32,30,2,Medium,Refilled too late in service,Use smaller refill batch
2026-01-28,Wednesday,Breakfast,Roasted Chicken,meat,Hot Kitchen,85,66,normal,0.95,rainy,3.9,1.8,0.46,15,2,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-11-12,Wednesday,Dinner,Fried Rice,staple,Hot Kitchen,195,146,group_tour,0.94,rainy,6.4,0.9,0.14,30,0,Low,Regular consumption,Maintain current quantity
2025-10-30,Thursday,Dinner,Mixed Seafood,seafood,Hot Kitchen,147,122,normal,0.75,cloudy,5.7,2.1,0.37,45,3,High,Low guest demand,Reduce initial quantity
2025-10-16,Thursday,Dinner,Steamed Dumplings,pastry,Chinese Pastry,145,153,normal,0.47,cloudy,4.4,1.8,0.41,90,3,High,Low guest demand,Reduce initial quantity
2025-10-31,Friday,Dinner,Steamed Dumplings,pastry,Chinese Pastry,254,205,banquet,0.47,rainy,7.9,1.0,0.13,45,0,Low,Regular consumption,Maintain current quantity
2025-12-05,Friday,Breakfast,Braised Pork,meat,Hot Kitchen,164,186,normal,0.89,rainy,10.1,4.0,0.4,30,1,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-11-17,Monday,Breakfast,Steamed Fish,seafood,Hot Kitchen,165,176,normal,0.84,cloudy,8.8,3.4,0.39,30,2,High,Low guest demand,Avoid final refill and reduce next initial quantity
2025-10-12,Sunday,Breakfast,Fried Rice,staple,Hot Kitchen,118,99,normal,0.62,cloudy,4.8,2.3,0.48,15,2,High,Low guest demand,Avoid final refill and reduce next initial quantity
2026-02-10,Tuesday,Dinner,Steamed Fish,seafood,Hot Kitchen,111,122,wedding,0.62,rainy,7.7,1.5,0.19,15,2,Medium,Demand slowed near the end,Use smaller refill batch
2025-12-22,Monday,Dinner,Steamed Fish,seafood,Hot Kitchen,261,222,wedding,0.64,sunny,9.2,2.2,0.24,30,4,Medium,Demand slowed near the end,Use smaller refill batch
2025-12-26,Friday,Lunch,Chinese Pastry Assortment,pastry,Chinese Pastry,136,129,group_tour,0.81,sunny,3.8,0.4,0.11,90,2,Low,Regular consumption,Maintain current quantity
2026-01-18,Sunday,Lunch,Braised Pork,meat,Hot Kitchen,137,125,group_tour,0.76,sunny,5.5,1.8,0.33,60,1,Medium,Overproduction,Reduce final refill quantity
2026-03-07,Saturday,Lunch,Braised Pork,meat,Hot Kitchen,190,178,normal,0.79,cloudy,8.8,1.3,0.15,15,1,Low,Regular consumption,Maintain current quantity
2026-03-10,Tuesday,Breakfast,Roasted Chicken,meat,Hot Kitchen,117,125,group_tour,0.79,sunny,7.1,2.5,0.35,90,3,Medium,Overproduction,Use smaller refill batch
2025-10-21,Tuesday,Lunch,Fried Rice,staple,Hot Kitchen,251,228,banquet,0.55,rainy,15.9,2.0,0.13,60,0,Low,Regular consumption,Maintain current quantity
2026-02-12,Thursday,Breakfast,Fried Rice,staple,Hot Kitchen,178,181,normal,0.68,sunny,8.1,2.7,0.33,90,3,Medium,Overproduction,Use smaller refill batch
2026-02-09,Monday,Dinner,Steamed Fish,seafood,Hot Kitchen,181,168,normal,0.82,sunny,8.9,2.0,0.22,90,2,Medium,Demand slowed near the end,Use smaller refill batch
2025-12-03,Wednesday,Lunch,Congee Side Toppings,side dish,Cold / Prep,145,127,normal,0.57,cloudy,4.0,1.8,0.45,60,1,High,Low guest demand,Reduce initial quantity
2026-01-15,Thursday,Dinner,Roasted Chicken,meat,Hot Kitchen,167,151,normal,0.55,sunny,8.2,1.9,0.23,90,0,Medium,Demand slowed near the end,Reduce final refill quantity
2026-01-01,Thursday,Lunch,Congee Side Toppings,side dish,Cold / Prep,257,242,banquet,0.72,cloudy,10.7,4.1,0.38,45,3,High,Over-refilled during service,Reduce initial quantity
